imu_acc_x,imu_acc_y,imu_acc_z
0.87,-0.19,9.62
0.86,-0.17,9.62
0.81,-0.20,9.59
0.88,-0.23,9.59
0.87,-0.18,9.65
0.87,-0.23,9.54
0.89,-0.16,9.63
0.84,-0.23,9.66
0.83,-0.22,9.65
0.87,-0.23,9.66
0.86,-0.23,9.63
0.82,-0.20,9.63
0.85,-0.17,9.59
0.90,-0.22,9.56
0.85,-0.19,9.65
0.86,-0.29,9.58
0.88,-0.17,9.69
0.93,-0.23,9.59
0.82,-0.22,9.52
0.82,-0.26,9.55
0.86,-0.15,9.60
0.86,-0.17,9.64
0.91,-0.16,9.68
0.91,-0.09,9.64
0.90,-0.12,9.61
0.89,-0.26,9.65
0.88,-0.22,9.58
0.91,-0.23,9.64
0.85,-0.32,9.66
0.88,-0.37,9.73
0.89,-0.22,9.65
0.91,-0.17,9.63
0.82,-0.26,9.56
0.88,-0.27,9.64
0.84,-0.29,9.57
0.89,-0.14,9.62
0.86,-0.09,9.61
0.93,0.04,9.60
0.88,-0.22,9.60
0.81,-0.35,9.68
0.84,-0.21,9.74
0.89,-0.14,9.67
0.91,-0.11,9.67
0.89,-0.19,9.66
0.85,-0.25,9.61
0.81,-0.23,9.63
0.86,-0.17,9.61
0.88,-0.11,9.63
0.91,-0.11,9.57
0.84,-0.11,9.61
0.86,-0.21,9.63
0.86,-0.19,9.66
0.85,-0.21,9.62
0.82,-0.16,9.64
0.90,-0.11,9.66
0.90,-0.22,9.62
0.86,-0.24,9.69
0.84,-0.21,9.65
0.86,-0.24,9.63
0.90,-0.12,9.55
0.89,-0.23,9.65
0.89,-0.29,9.59
0.88,-0.25,9.62
0.84,-0.29,9.59
0.91,-0.21,9.62
0.85,-0.25,9.58
0.80,-0.23,9.63
0.85,-0.25,9.69
0.84,-0.32,9.65
0.90,-0.19,9.71
0.85,-0.23,9.56
0.78,-0.40,9.52
0.89,-0.18,9.70
0.86,-0.23,9.55
0.83,-0.25,9.69
0.85,-0.24,9.58
0.88,-0.07,9.67
0.86,-0.17,9.72
0.87,-0.28,9.71
0.89,-0.25,9.68
0.89,-0.24,9.70
0.87,-0.23,9.62
0.87,-0.22,9.69
0.85,-0.18,9.68
0.88,-0.13,9.54
0.85,-0.21,9.66
0.88,-0.16,9.59
0.87,-0.25,9.61
0.89,-0.22,9.58
0.88,-0.25,9.62
0.89,-0.21,9.65
0.85,-0.31,9.57
0.88,-0.25,9.76
0.86,-0.31,9.55
0.91,-0.15,9.72
0.90,-0.14,9.60
0.86,-0.19,9.64
0.88,-0.19,9.64
0.87,-0.24,9.64
0.83,-0.24,9.64
0.89,-0.18,9.61
0.88,-0.22,9.62
0.87,-0.19,9.63
0.83,-0.22,9.68
0.89,-0.24,9.66
0.90,-0.19,9.62
0.86,-0.16,9.58
0.82,-0.18,9.67
0.87,-0.18,9.49
0.81,-0.23,9.55
0.87,-0.11,9.53
0.89,-0.11,9.60
0.89,-0.13,9.63
0.81,-0.32,9.58
0.81,-0.17,9.60
0.83,-0.29,9.59
0.93,-0.21,9.61
0.88,-0.20,9.60
0.88,-0.15,9.67
0.80,-0.19,9.62
0.92,-0.05,9.56
0.88,-0.18,9.70
0.84,-0.24,9.68
0.83,-0.34,9.57
0.88,-0.24,9.65
0.83,-0.21,9.57
0.86,-0.19,9.63
0.90,-0.20,9.73
0.88,-0.15,9.65
0.88,-0.14,9.66
0.89,-0.12,9.58
0.83,-0.17,9.61
0.86,-0.20,9.65
0.86,-0.23,9.59
0.86,-0.24,9.59
0.86,-0.16,9.61
0.87,-0.23,9.71
0.86,-0.29,9.67
0.86,-0.22,9.66
0.83,-0.27,9.63
0.88,-0.21,9.68
0.89,-0.22,9.66
0.89,-0.15,9.64
0.84,-0.22,9.62
0.83,-0.28,9.60
0.80,-0.21,9.57
0.89,-0.22,9.60
0.87,-0.20,9.59
0.86,-0.21,9.65
0.83,-0.22,9.61
0.85,-0.26,9.59
0.80,-0.21,9.67
0.86,-0.23,9.65
0.85,-0.23,9.63
0.87,-0.14,9.61
0.88,-0.19,9.64
0.86,-0.23,9.72
0.87,-0.22,9.68
0.89,-0.18,9.61
0.83,-0.20,9.64
0.82,-0.26,9.69
0.86,-0.21,9.67
0.85,-0.23,9.68
0.85,-0.28,9.69
0.85,-0.24,9.70
0.86,-0.27,9.62
0.86,-0.17,9.67
0.86,-0.11,9.62
0.85,-0.21,9.65
0.83,-0.28,9.64
0.85,-0.21,9.63
0.86,-0.17,9.64
0.89,-0.17,9.68
0.82,-0.23,9.64
0.84,-0.21,9.66
0.89,-0.21,9.59
0.80,-0.20,9.55
0.84,-0.21,9.64
0.88,-0.19,9.64
0.85,-0.16,9.61
0.85,-0.19,9.70
0.85,-0.24,9.63
0.83,-0.24,9.63
0.90,-0.15,9.67
0.87,-0.22,9.64
0.82,-0.21,9.61
0.86,-0.16,9.65
0.84,-0.25,9.65
0.85,-0.14,9.64
0.82,-0.24,9.65
0.91,-0.16,9.66
0.86,-0.14,9.62
0.84,-0.23,9.65
0.85,-0.42,9.66
0.87,-0.42,9.64
0.87,-0.32,9.72
0.92,-0.26,9.69
0.85,-0.34,9.66
0.83,-0.34,9.61
0.87,-0.23,9.61
0.89,-0.22,9.68
0.83,-0.19,9.57
0.84,-0.23,9.62
0.88,-0.24,9.65
0.86,-0.17,9.64
0.88,-0.16,9.70
0.83,-0.22,9.66
0.86,-0.25,9.60
0.86,-0.24,9.62
0.81,-0.16,9.62
0.82,-0.27,9.64
0.85,-0.22,9.59
0.86,-0.24,9.61
0.91,-0.14,9.68
0.85,-0.16,9.71
0.88,-0.17,9.67
0.83,-0.24,9.66
0.83,-0.24,9.65
0.86,-0.20,9.67
0.92,0.07,9.61
0.82,0.04,9.65
0.86,-0.12,9.63
0.82,-0.22,9.62
0.84,-0.08,9.72
0.86,-0.04,9.62
0.85,-0.16,9.66
0.81,-0.24,9.65
0.90,-0.12,9.65
0.85,-0.19,9.65
0.86,-0.22,9.64
0.84,-0.21,9.61
0.82,-0.23,9.61
0.84,-0.20,9.51
0.86,-0.19,9.66
0.86,-0.19,9.65
0.83,-0.24,9.60
0.85,-0.24,9.62
0.84,-0.20,9.62
0.87,-0.25,9.66
0.89,-0.23,9.69
0.85,-0.19,9.57
0.84,-0.19,9.63
0.85,-0.26,9.65
0.83,-0.22,9.63
0.84,-0.16,9.71
0.86,-0.17,9.69
0.83,-0.28,9.58
