imu_acc_x,imu_acc_y,imu_acc_z
-0.36,-9.65,-0.68
-0.34,-9.81,-0.74
-0.34,-9.51,-0.68
-0.36,-9.68,-0.68
-0.40,-9.67,-0.62
-0.35,-9.52,-0.69
-0.35,-9.63,-0.67
-0.36,-9.55,-0.73
-0.34,-9.63,-0.68
-0.36,-9.57,-0.69
-0.33,-9.56,-0.61
-0.37,-9.63,-0.62
-0.35,-9.53,-0.63
-0.35,-9.60,-0.68
-0.35,-9.54,-0.65
-0.37,-9.59,-0.68
-0.34,-9.76,-0.66
-0.34,-9.36,-0.60
-0.37,-9.64,-0.64
-0.33,-9.58,-0.65
-0.37,-9.73,-0.69
-0.40,-9.54,-0.69
-0.36,-9.52,-0.73
-0.38,-9.71,-0.66
-0.38,-9.45,-0.65
-0.37,-9.59,-0.65
-0.37,-9.55,-0.59
-0.35,-9.56,-0.67
-0.33,-9.60,-0.72
-0.35,-9.50,-0.65
-0.38,-9.59,-0.65
-0.37,-9.51,-0.66
-0.37,-9.56,-0.69
-0.37,-9.61,-0.60
-0.37,-9.49,-0.67
-0.35,-9.59,-0.64
-0.34,-9.61,-0.68
-0.39,-9.59,-0.65
-0.36,-9.62,-0.62
-0.32,-9.52,-0.66
-0.37,-9.60,-0.66
-0.34,-9.57,-0.70
-0.34,-9.57,-0.67
-0.38,-9.62,-0.66
-0.38,-9.56,-0.63
-0.34,-9.56,-0.68
-0.37,-9.53,-0.70
-0.34,-9.56,-0.68
-0.36,-9.59,-0.68
-0.31,-9.62,-0.65
-0.36,-9.59,-0.64
-0.36,-9.62,-0.64
-0.36,-9.57,-0.69
-0.38,-9.55,-0.61
-0.36,-9.56,-0.62
-0.36,-9.58,-0.65
-0.35,-9.59,-0.69
-0.38,-9.60,-0.63
-0.37,-9.56,-0.70
-0.35,-9.58,-0.70
-0.36,-9.59,-0.70
-0.38,-9.58,-0.65
-0.34,-9.58,-0.64
-0.37,-9.57,-0.60
-0.40,-9.61,-0.71
-0.36,-9.60,-0.62
-0.39,-9.55,-0.67
-0.34,-9.55,-0.67
-0.31,-9.61,-0.65
-0.34,-9.58,-0.67
-0.32,-9.60,-0.67
-0.34,-9.54,-0.66
-0.35,-9.55,-0.65
-0.34,-9.58,-0.68
-0.38,-9.58,-0.62
-0.35,-9.58,-0.70
-0.33,-9.57,-0.69
-0.33,-9.58,-0.63
-0.37,-9.56,-0.69
-0.35,-9.54,-0.66
-0.37,-9.58,-0.71
-0.36,-9.55,-0.67
-0.37,-9.61,-0.67
-0.35,-9.56,-0.71
-0.32,-9.56,-0.62
-0.37,-9.59,-0.68
-0.36,-9.59,-0.68
-0.38,-9.54,-0.64
-0.41,-9.59,-0.60
-0.37,-9.62,-0.67
-0.35,-9.56,-0.74
-0.38,-9.60,-0.62
-0.34,-9.54,-0.67
-0.37,-9.59,-0.68
-0.37,-9.55,-0.54
-0.32,-9.55,-0.58
-0.33,-9.61,-0.61
-0.36,-9.58,-0.68
-0.36,-9.56,-0.61
-0.38,-9.57,-0.58
-0.39,-9.57,-0.65
-0.34,-9.59,-0.72
-0.32,-9.56,-0.71
-0.39,-9.59,-0.66
-0.38,-9.58,-0.64
-0.36,-9.54,-0.70
-0.35,-9.54,-0.66
-0.34,-9.55,-0.67
-0.37,-9.60,-0.65
-0.35,-9.60,-0.67
-0.35,-9.62,-0.66
-0.36,-9.57,-0.71
-0.36,-9.55,-0.68
-0.38,-9.58,-0.67
-0.34,-9.60,-0.62
-0.34,-9.59,-0.67
-0.36,-9.60,-0.66
-0.35,-9.55,-0.58
-0.36,-9.56,-0.59
-0.34,-9.59,-0.62
-0.36,-9.61,-0.61
-0.34,-9.55,-0.66
-0.32,-9.60,-0.60
-0.35,-9.59,-0.67
-0.37,-9.62,-0.67
-0.38,-9.59,-0.63
-0.38,-9.59,-0.60
-0.41,-9.58,-0.71
-0.39,-9.59,-0.67
-0.41,-9.60,-0.64
-0.35,-9.56,-0.65
-0.39,-9.60,-0.64
-0.39,-9.62,-0.68
-0.36,-9.57,-0.71
-0.38,-9.61,-0.66
-0.32,-9.58,-0.66
-0.34,-9.59,-0.60
-0.37,-9.58,-0.58
-0.34,-9.60,-0.66
-0.34,-9.57,-0.59
-0.34,-9.58,-0.66
-0.34,-9.59,-0.62
-0.34,-9.62,-0.68
-0.35,-9.59,-0.64
-0.31,-9.54,-0.66
-0.32,-9.62,-0.60
-0.34,-9.55,-0.58
-0.38,-9.56,-0.65
-0.35,-9.54,-0.68
-0.37,-9.56,-0.65
-0.38,-9.62,-0.63
-0.36,-9.56,-0.68
-0.39,-9.61,-0.67
-0.36,-9.57,-0.65
-0.40,-9.58,-0.65
-0.40,-9.55,-0.68
-0.40,-9.56,-0.63
-0.34,-9.55,-0.62
-0.37,-9.56,-0.68
-0.37,-9.60,-0.68
-0.34,-9.60,-0.59
-0.39,-9.56,-0.60
-0.33,-9.58,-0.68
-0.35,-9.57,-0.57
-0.36,-9.54,-0.56
-0.35,-9.62,-0.70
-0.37,-9.57,-0.71
-0.34,-9.62,-0.70
-0.38,-9.58,-0.62
-0.34,-9.56,-0.60
-0.37,-9.54,-0.69
-0.36,-9.62,-0.66
-0.34,-9.63,-0.69
-0.37,-9.57,-0.65
-0.31,-9.60,-0.60
-0.36,-9.58,-0.63
-0.41,-9.57,-0.60
-0.34,-9.60,-0.62
-0.41,-9.58,-0.62
-0.34,-9.60,-0.71
-0.37,-9.59,-0.67
-0.37,-9.57,-0.61
-0.41,-9.61,-0.69
-0.37,-9.56,-0.65
-0.39,-9.58,-0.64
-0.37,-9.58,-0.63
-0.37,-9.59,-0.62
-0.40,-9.60,-0.66
-0.39,-9.60,-0.67
-0.35,-9.54,-0.61
-0.39,-9.59,-0.64
-0.34,-9.58,-0.62
-0.37,-9.63,-0.65
-0.38,-9.59,-0.69
-0.35,-9.57,-0.67
-0.32,-9.60,-0.64
-0.32,-9.61,-0.66
-0.37,-9.58,-0.67
-0.40,-9.62,-0.68
-0.34,-9.56,-0.72
-0.37,-9.59,-0.62
-0.38,-9.55,-0.60
-0.40,-9.61,-0.65
-0.35,-9.56,-0.58
-0.38,-9.62,-0.63
-0.36,-9.56,-0.67
-0.38,-9.59,-0.66
-0.37,-9.58,-0.65
-0.37,-9.57,-0.68
-0.39,-9.62,-0.61
-0.38,-9.59,-0.66
-0.38,-9.56,-0.63
-0.40,-9.60,-0.68
-0.39,-9.57,-0.65
-0.37,-9.61,-0.69
-0.39,-9.59,-0.65
-0.36,-9.60,-0.62
-0.36,-9.60,-0.66
-0.35,-9.62,-0.69
-0.34,-9.56,-0.67
-0.35,-9.56,-0.64
-0.37,-9.57,-0.62
-0.37,-9.60,-0.63
-0.36,-9.54,-0.60
-0.36,-9.57,-0.62
-0.34,-9.53,-0.70
-0.35,-9.59,-0.66
-0.37,-9.55,-0.66
-0.36,-9.54,-0.68
-0.34,-9.55,-0.61
-0.39,-9.58,-0.63
-0.40,-9.61,-0.66
-0.39,-9.60,-0.63
-0.37,-9.58,-0.61
-0.39,-9.60,-0.61
-0.35,-9.57,-0.57
-0.36,-9.55,-0.69
-0.38,-9.60,-0.63
-0.42,-9.59,-0.68
-0.35,-9.62,-0.63
-0.38,-9.56,-0.67
-0.38,-9.60,-0.62
-0.37,-9.58,-0.69
-0.41,-9.55,-0.63
-0.37,-9.56,-0.68
-0.36,-9.64,-0.70
-0.34,-9.59,-0.66
-0.36,-9.57,-0.67
-0.36,-9.61,-0.66
-0.36,-9.58,-0.60
-0.35,-9.59,-0.68
-0.34,-9.59,-0.67
-0.34,-9.58,-0.61
-0.35,-9.56,-0.63
-0.37,-9.59,-0.63
-0.35,-9.60,-0.57
-0.38,-9.53,-0.66
-0.37,-9.61,-0.64
-0.33,-9.57,-0.70
-0.36,-9.55,-0.65
-0.34,-9.56,-0.68
-0.34,-9.57,-0.66
-0.34,-9.59,-0.64
-0.35,-9.59,-0.70
-0.39,-9.56,-0.70
-0.36,-9.62,-0.64
-0.39,-9.54,-0.70
-0.36,-9.56,-0.64
-0.36,-9.57,-0.66
-0.34,-9.58,-0.60
-0.33,-9.57,-0.66
-0.35,-9.61,-0.62
-0.33,-9.55,-0.62
-0.34,-9.62,-0.60
-0.33,-9.65,-0.68
-0.36,-9.56,-0.63
-0.34,-9.62,-0.69
-0.39,-9.64,-0.63
-0.34,-9.54,-0.68
-0.37,-9.59,-0.61
-0.33,-9.58,-0.64
-0.37,-9.61,-0.72
-0.38,-9.60,-0.67
-0.36,-9.57,-0.69
-0.37,-9.58,-0.68
-0.34,-9.55,-0.60
-0.35,-9.57,-0.63
-0.37,-9.60,-0.64
-0.39,-9.58,-0.62
-0.35,-9.62,-0.67
-0.34,-9.51,-0.66
-0.36,-9.61,-0.65
-0.39,-9.59,-0.64
-0.37,-9.62,-0.65
-0.36,-9.53,-0.63
-0.37,-9.62,-0.66
-0.38,-9.58,-0.68
-0.37,-9.59,-0.67
-0.42,-9.60,-0.62
-0.34,-9.61,-0.57
-0.40,-9.59,-0.60
-0.38,-9.62,-0.65
-0.40,-9.60,-0.66
-0.35,-9.60,-0.64
-0.38,-9.57,-0.60
-0.40,-9.62,-0.64
-0.37,-9.59,-0.68
-0.38,-9.56,-0.67
-0.37,-9.57,-0.60
-0.37,-9.54,-0.68
-0.38,-9.58,-0.59
-0.39,-9.55,-0.68
-0.40,-9.53,-0.69
-0.39,-9.58,-0.66
-0.40,-9.62,-0.63
-0.40,-9.52,-0.62
-0.41,-9.64,-0.64
-0.34,-9.61,-0.64
-0.32,-9.55,-0.65
-0.36,-9.53,-0.64
-0.33,-9.54,-0.61
-0.38,-9.64,-0.65
-0.38,-9.52,-0.62
-0.36,-9.62,-0.67
-0.34,-9.62,-0.62
-0.35,-9.52,-0.62
-0.32,-9.60,-0.70
-0.35,-9.53,-0.67
-0.33,-9.65,-0.72
-0.38,-9.52,-0.66
-0.35,-9.63,-0.56
-0.40,-9.60,-0.66
-0.35,-9.53,-0.70
-0.38,-9.58,-0.69
-0.40,-9.54,-0.68
-0.35,-9.56,-0.63
-0.36,-9.58,-0.69
-0.34,-9.55,-0.64
-0.38,-9.66,-0.68
-0.37,-9.60,-0.58
-0.34,-9.62,-0.62
-0.34,-9.61,-0.68
-0.36,-9.59,-0.60
-0.33,-9.57,-0.69
-0.34,-9.61,-0.70
-0.37,-9.59,-0.68
-0.37,-9.61,-0.65
-0.35,-9.59,-0.60
-0.33,-9.56,-0.63
-0.36,-9.53,-0.56
-0.36,-9.60,-0.62
-0.36,-9.60,-0.58
-0.36,-9.55,-0.62
-0.36,-9.55,-0.60
-0.37,-9.55,-0.66
-0.40,-9.60,-0.69
-0.35,-9.54,-0.66
-0.39,-9.60,-0.58
-0.41,-9.54,-0.60
-0.37,-9.56,-0.66
-0.37,-9.61,-0.65
-0.39,-9.55,-0.63
-0.37,-9.57,-0.62
-0.37,-9.56,-0.67
-0.35,-9.59,-0.59
-0.35,-9.56,-0.63
-0.35,-9.56,-0.68
-0.38,-9.58,-0.69
-0.34,-9.59,-0.66
-0.33,-9.56,-0.71
-0.34,-9.61,-0.66
-0.38,-9.58,-0.68
-0.38,-9.62,-0.64
-0.37,-9.60,-0.68
-0.36,-9.60,-0.68
-0.36,-9.58,-0.68
-0.35,-9.57,-0.64
-0.38,-9.57,-0.62
-0.41,-9.57,-0.66
-0.36,-9.62,-0.60
-0.38,-9.55,-0.66
-0.34,-9.62,-0.65
-0.42,-9.55,-0.61
-0.37,-9.63,-0.61
-0.41,-9.59,-0.64
-0.37,-9.61,-0.63
-0.38,-9.50,-0.59
-0.36,-9.58,-0.65
-0.40,-9.57,-0.63
-0.37,-9.57,-0.61
-0.37,-9.61,-0.61
-0.37,-9.56,-0.66
-0.37,-9.60,-0.65
-0.39,-9.60,-0.58
-0.40,-9.59,-0.62
-0.37,-9.59,-0.68
-0.34,-9.59,-0.65
-0.36,-9.57,-0.63
-0.35,-9.59,-0.64
